Country,DevType,EdLevel,Employment,YearsCodePro,Age,ConvertedCompYearly,JobSat,RemoteWork,LanguageHaveWorkedWith,OpSys
Poland,Embedded developer,Bachelors degree,Student,1,25-34 years old,43593.43077735065,5,Hybrid,C#;Go;Java,Windows
Netherlands,Data scientist or machine learning specialist,Masters degree,Freelancer,4,18-24 years old,,4,Hybrid,Go;Python;C++;Kotlin,Windows
United States,DevOps specialist,Bachelors degree,Employed full-time,7,18-24 years old,125640.7242092444,3,Hybrid,C#;TypeScript;Kotlin,Linux
United Kingdom,Full-stack developer,Masters degree,Employed full-time,22,25-34 years old,56942.90016371549,5,Hybrid,TypeScript;Python;JavaScript;C#,Windows
Australia,Full-stack developer,Bachelors degree,Self-employed,More than 50 years,18-24 years old,68671.2492038376,3,Remote,JavaScript;C++;Kotlin,Windows
United States,Full-stack developer,Secondary school,Employed full-time,26,18-24 years old,155259.593050748,3,Hybrid,C++;TypeScript,Linux
Germany,Full-stack developer,Secondary school,Employed full-time,1,35-44 years old,64845.66461700572,3,Hybrid,Go;Java,Linux
Australia,Embedded developer,Bachelors degree,Employed full-time,1,18-24 years old,,4,Hybrid,TypeScript;Java,Windows
United States,Embedded developer,Bachelors degree,Employed full-time,8,35-44 years old,136518.47166061305,3,Hybrid,Python;JavaScript;C++,macOS
United Kingdom,Front-end developer,Bachelors degree,Employed full-time,20,25-34 years old,93666.2915185506,3,Hybrid,PHP;Rust,Linux
United States,Desktop developer,Bachelors degree,Student,16,45-54 years old,127855.36726102249,4,Hybrid,Rust;Java;PHP,macOS
Australia,Mobile developer,Masters degree,Student,21,25-34 years old,,5,Hybrid,JavaScript;C#,macOS
Poland,Front-end developer,Secondary school,Employed full-time,13,25-34 years old,,4,Hybrid,C++;Java;Go;PHP,Windows
Netherlands,Front-end developer,Masters degree,Employed full-time,23,25-34 years old,37629.530315767355,5,Hybrid,Go;Java;TypeScript;C++,Linux
India,DevOps specialist,Secondary school,Employed full-time,24,25-34 years old,37857.109879258955,3,Remote,C#;Go;C++,Windows
Brazil,DevOps specialist,Bachelors degree,Student,Less than 1 year,25-34 years old,32974.19194603131,3,In-person,Python,macOS
France,Desktop developer,Bachelors degree,Employed full-time,26,18-24 years old,53997.424263436,4,Hybrid,C#;JavaScript;TypeScript;PHP,Linux
United States,Mobile developer,Some college,Self-employed,23,65 years or older,99913.24347412187,4,Remote,Python;Go,Windows
France,DevOps specialist,Bachelors degree,Employed full-time,18,25-34 years old,62536.49370269924,4,Remote,C++;Java;Go,macOS
United States,Desktop developer,Masters degree,Employed full-time,30,25-34 years old,112673.16645724485,5,Remote,JavaScript;PHP;TypeScript;Python,Linux
Germany,Desktop developer,Bachelors degree,Employed full-time,Less than 1 year,35-44 years old,78535.24206500528,5,Hybrid,C#;Kotlin,macOS
United States,Embedded developer,Bachelors degree,Self-employed,20,25-34 years old,,5,In-person,Go,Windows
United States,Back-end developer,Associate degree,Employed full-time,10,45-54 years old,,4,In-person,Kotlin;Go;C++,macOS
United States,Embedded developer,Bachelors degree,Employed full-time,12,25-34 years old,,3,Remote,C++;Python,Linux
United Kingdom,Mobile developer,Associate degree,Employed full-time,1,35-44 years old,59024.68696313769,4,Hybrid,Python;TypeScript;JavaScript,Linux
United States,DevOps specialist,Associate degree,Self-employed,10,18-24 years old,,2,Remote,JavaScript;C#;C++,macOS
United Kingdom,Mobile developer,Some college,Student,9,45-54 years old,,3,Remote,PHP;TypeScript;Rust,Linux
United States,Front-end developer,Masters degree,Employed full-time,3,35-44 years old,129528.6033343425,3,Hybrid,Rust;TypeScript,Linux
United States,Front-end developer,Masters degree,Student,28,18-24 years old,,4,Hybrid,C#,Windows
India,Mobile developer,Secondary school,Employed full-time,19,18-24 years old,,2,In-person,Python;C#,macOS
Canada,Back-end developer,Bachelors degree,Employed full-time,26,25-34 years old,,1,Hybrid,Java,Linux
United States,Back-end developer,Masters degree,Employed full-time,9,65 years or older,,4,Remote,TypeScript,macOS
Germany,Embedded developer,Masters degree,Employed full-time,10,25-34 years old,81947.94972869524,4,Hybrid,Java;JavaScript;Python,Windows
Brazil,Mobile developer,Bachelors degree,Self-employed,19,25-34 years old,40239.94363994118,4,Remote,Python;TypeScript;PHP,Windows
Germany,DevOps specialist,Bachelors degree,Self-employed,16,18-24 years old,72056.14498463977,4,Remote,TypeScript;Rust;Go,Windows
United States,Embedded developer,Bachelors degree,Employed full-time,24,25-34 years old,116018.7489248026,2,Hybrid,Kotlin,macOS
United States,Data scientist or machine learning specialist,Masters degree,Employed full-time,18,25-34 years old,123696.54067243308,3,Hybrid,C#,Windows
Brazil,Back-end developer,Secondary school,Student,14,55-64 years old,66655.2095727402,2,Remote,C++;JavaScript;TypeScript;PHP,Windows
United States,Full-stack developer,Bachelors degree,Not employed,29,25-34 years old,,5,Remote,JavaScript;Java;TypeScript;Kotlin,Linux
Brazil,Embedded developer,Other doctoral degree,Employed full-time,3,35-44 years old,,4,Hybrid,C++;PHP,Windows
India,Front-end developer,Masters degree,Freelancer,2,25-34 years old,5000.0,3,Hybrid,Go;Java,macOS
Australia,Embedded developer,Secondary school,Employed full-time,1,18-24 years old,,3,Remote,Python;Rust;TypeScript;Kotlin,Linux
Canada,Mobile developer,Masters degree,Employed full-time,18,25-34 years old,,5,Hybrid,PHP;TypeScript,macOS
Poland,Full-stack developer,Some college,Student,24,25-34 years old,54355.18816153542,4,Remote,JavaScript;PHP;C++;C#,Windows
India,Mobile developer,Bachelors degree,Employed full-time,9,55-64 years old,46015.48580944227,5,In-person,C++;JavaScript;Java;Python,Windows
Canada,Desktop developer,Some college,Employed full-time,13,45-54 years old,,3,Remote,C#;Python;Java;Kotlin,Windows
India,Front-end developer,Bachelors degree,Employed full-time,2,25-34 years old,,3,In-person,Go;C#;Java,Linux
India,Front-end developer,Secondary school,Student,7,25-34 years old,44060.189964280995,5,Remote,Kotlin;JavaScript,Windows
Germany,Back-end developer,Associate degree,Student,16,18-24 years old,69002.45051006775,4,In-person,C#;JavaScript;Kotlin;PHP,Windows
Brazil,Embedded developer,Bachelors degree,Employed full-time,Less than 1 year,55-64 years old,,4,In-person,JavaScript;Kotlin;Go,macOS
Poland,Back-end developer,Bachelors degree,Employed full-time,21,45-54 years old,57209.15914144193,4,In-person,Java;Go;Kotlin,Windows
Canada,Full-stack developer,Some college,Employed full-time,19,35-44 years old,65135.66514649446,4,Remote,Java;JavaScript,Linux
India,Embedded developer,Bachelors degree,Employed full-time,25,25-34 years old,20430.54912380919,4,In-person,C++;JavaScript,Linux
India,Desktop developer,Secondary school,Employed full-time,15,25-34 years old,38341.30945456708,3,Hybrid,C#;PHP;Rust;Go,Windows
Canada,Mobile developer,Bachelors degree,Self-employed,22,25-34 years old,,4,In-person,PHP;Rust;C#;C++,Linux
United States,Desktop developer,Bachelors degree,Employed full-time,11,25-34 years old,112733.7598322291,5,Hybrid,Python;Rust,Linux
United States,Front-end developer,Associate degree,Employed full-time,1,25-34 years old,125931.45353388616,3,In-person,C++,Windows
India,Full-stack developer,Masters degree,Employed full-time,More than 50 years,18-24 years old,,4,In-person,Python;C++,Windows
United States,Data scientist or machine learning specialist,Secondary school,Employed full-time,More than 50 years,18-24 years old,149859.05245507654,4,Hybrid,Rust,macOS
United States,Full-stack developer,Bachelors degree,Not employed,More than 50 years,45-54 years old,,5,Hybrid,C#,Windows
United States,DevOps specialist,Masters degree,Employed full-time,21,35-44 years old,,4,Remote,TypeScript;C#;Rust,Linux
United States,Full-stack developer,Masters degree,Employed full-time,7,25-34 years old,106819.5234668066,4,Remote,Go;PHP;JavaScript;Rust,Linux
United States,Desktop developer,Masters degree,Employed full-time,More than 50 years,25-34 years old,,5,Hybrid,Rust,Windows
Poland,DevOps specialist,Masters degree,Employed full-time,20,25-34 years old,76349.34253396744,5,Hybrid,Python,macOS
India,DevOps specialist,Masters degree,Employed full-time,8,35-44 years old,6730.828407355544,4,Hybrid,Go;C#;Kotlin;PHP,Windows
India,Embedded developer,Bachelors degree,Employed full-time,10,35-44 years old,31140.784745036435,4,In-person,Python;JavaScript;PHP;C#,Windows
United Kingdom,Embedded developer,Bachelors degree,Employed full-time,5,35-44 years old,58975.28328935617,3,In-person,PHP;Java;C#;Go,Linux
United States,DevOps specialist,Some college,Employed full-time,9,35-44 years old,132511.6918735,4,Hybrid,Go;TypeScript,Windows
Netherlands,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,25,18-24 years old,,5,Hybrid,Java;JavaScript,Linux
Canada,Embedded developer,Masters degree,Employed full-time,25,25-34 years old,53855.075486765374,5,Hybrid,C++;Kotlin;Go,macOS
United States,Full-stack developer,Bachelors degree,Freelancer,1,25-34 years old,147381.89165525703,2,Hybrid,TypeScript;Python;Go,Windows
India,Desktop developer,Masters degree,Employed full-time,2,25-34 years old,,4,Hybrid,Kotlin;JavaScript;C#,Windows
Brazil,Full-stack developer,Some college,Employed full-time,19,35-44 years old,,4,In-person,Go,Windows
Netherlands,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,14,25-34 years old,,5,In-person,Kotlin,macOS
India,Front-end developer,Bachelors degree,Employed full-time,20,18-24 years old,58333.265184550466,4,Hybrid,TypeScript;Python;C#;Kotlin,Windows
Germany,Back-end developer,Bachelors degree,Self-employed,10,25-34 years old,61433.30741329013,4,In-person,Kotlin;C++;Java,Windows
United States,Desktop developer,Masters degree,Employed full-time,9,65 years or older,107717.1293750563,1,In-person,TypeScript,Linux
Poland,Embedded developer,Secondary school,Self-employed,10,25-34 years old,90490.34362231806,4,Remote,Go;Python;PHP,Windows
United States,Desktop developer,Bachelors degree,Employed full-time,29,35-44 years old,111101.07218209494,2,Remote,Java;C++;Go,Windows
Netherlands,Full-stack developer,Some college,Employed full-time,6,25-34 years old,92021.48612328785,5,In-person,TypeScript;Java,macOS
Germany,Back-end developer,Bachelors degree,Self-employed,17,18-24 years old,92836.81159189626,5,Hybrid,C++;TypeScript;Kotlin;Java,Windows
Germany,Mobile developer,Masters degree,Employed full-time,28,25-34 years old,71907.00586878334,4,Remote,C#;PHP,Windows
India,Mobile developer,Other doctoral degree,Employed full-time,25,35-44 years old,5000.0,4,In-person,Rust,Windows
United States,Embedded developer,Bachelors degree,Employed full-time,6,25-34 years old,119613.63391456328,5,Remote,Kotlin,macOS
United States,Data scientist or machine learning specialist,Masters degree,Self-employed,4,45-54 years old,122032.60107066849,3,Remote,PHP,Windows
United States,Mobile developer,Bachelors degree,Employed full-time,30,25-34 years old,143344.35466608746,3,Hybrid,Python;TypeScript,Windows
United States,Desktop developer,Bachelors degree,Student,20,18-24 years old,151768.94352480222,5,Hybrid,Java,Windows
Canada,Mobile developer,Bachelors degree,Employed full-time,3,55-64 years old,46300.25641712505,5,Remote,Kotlin;C++;JavaScript,BSD
India,Front-end developer,Bachelors degree,Student,23,25-34 years old,41023.63527976366,5,Hybrid,C++;C#;Java,Windows
United States,Front-end developer,Masters degree,Employed full-time,19,25-34 years old,135308.043120267,3,Remote,Java;Kotlin;Python;Rust,Windows
Netherlands,Embedded developer,Bachelors degree,Self-employed,18,35-44 years old,81468.25404820891,2,Hybrid,Python;Rust;PHP,Linux
Brazil,Front-end developer,Masters degree,Employed full-time,26,25-34 years old,69973.7982427109,1,Remote,TypeScript;Kotlin,Windows
Australia,Mobile developer,Bachelors degree,Not employed,24,35-44 years old,,3,Remote,C#;Rust;JavaScript;Kotlin,macOS
Poland,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,4,18-24 years old,,5,Hybrid,Kotlin;JavaScript;C++;Python,Linux
United States,DevOps specialist,Masters degree,Employed full-time,More than 50 years,25-34 years old,96885.84850166169,3,Hybrid,Python,Windows
India,DevOps specialist,Associate degree,Employed full-time,8,18-24 years old,20947.884541638523,4,Remote,Python,Linux
Canada,Embedded developer,Bachelors degree,Employed full-time,17,35-44 years old,79600.08472267789,3,Hybrid,PHP;Go;Python,Windows
United Kingdom,Back-end developer,Secondary school,Employed full-time,Less than 1 year,25-34 years old,66103.01671749946,4,Remote,Java;Python;Go;Kotlin,Windows
United States,DevOps specialist,Masters degree,Not employed,5,35-44 years old,142961.81732794867,5,Hybrid,Kotlin;PHP,Linux
France,DevOps specialist,Masters degree,Freelancer,13,55-64 years old,,3,Remote,PHP,Windows
United States,Front-end developer,Masters degree,Employed full-time,25,25-34 years old,,4,Hybrid,Go;Python;Java,Windows
United States,Front-end developer,Bachelors degree,Not employed,1,25-34 years old,69583.0598685453,3,In-person,C++;Python,Windows
India,Mobile developer,Bachelors degree,Employed full-time,27,25-34 years old,,2,In-person,JavaScript;Rust,macOS
Germany,Embedded developer,Masters degree,Employed full-time,13,25-34 years old,70721.47067297669,4,Hybrid,JavaScript;Python;Java,macOS
Germany,Back-end developer,Bachelors degree,Self-employed,4,25-34 years old,55461.08521236236,4,Hybrid,Kotlin;Python;Go,Windows
United States,Embedded developer,Other doctoral degree,Employed part-time,22,35-44 years old,85987.45500697245,4,Hybrid,Go,Windows
Brazil,Full-stack developer,Bachelors degree,Freelancer,More than 50 years,65 years or older,45305.135730545815,5,Remote,C#;C++;Python;Rust,macOS
United States,Desktop developer,Bachelors degree,Employed full-time,26,55-64 years old,116110.17030270449,4,In-person,JavaScript;Java;Go;C++,Linux
United States,Back-end developer,Some college,Employed part-time,More than 50 years,45-54 years old,,1,In-person,Go;JavaScript;C++,Windows
Brazil,Back-end developer,Bachelors degree,Employed full-time,24,45-54 years old,63772.6216313596,4,In-person,C#;Go;Python;Kotlin,Linux
Netherlands,Data scientist or machine learning specialist,Masters degree,Employed full-time,14,25-34 years old,92161.34494345458,2,Hybrid,Go;C#;Kotlin;C++,Windows
Brazil,Embedded developer,Masters degree,Employed full-time,3,35-44 years old,,4,Remote,Python,Linux
France,Mobile developer,Other doctoral degree,Freelancer,5,45-54 years old,,4,Hybrid,Go;Java,macOS
United Kingdom,Data scientist or machine learning specialist,Some college,Student,More than 50 years,25-34 years old,,3,Hybrid,Python;Go;JavaScript,Windows
Germany,Back-end developer,Masters degree,Self-employed,7,55-64 years old,,5,Remote,C++,Linux
United States,Back-end developer,Masters degree,Employed full-time,1,25-34 years old,111269.70273468913,5,Hybrid,Go;Rust;Kotlin,Linux
India,Back-end developer,Other doctoral degree,Employed full-time,Less than 1 year,35-44 years old,46433.60747781179,5,Hybrid,TypeScript;Rust;C++;Java,macOS
India,DevOps specialist,Bachelors degree,Employed full-time,23,35-44 years old,30904.495166904853,3,Hybrid,Rust,Windows
United States,Embedded developer,Bachelors degree,Employed full-time,29,55-64 years old,106411.10030164501,4,Remote,Java;Kotlin;Rust,macOS
United Kingdom,Desktop developer,Bachelors degree,Employed full-time,12,25-34 years old,59759.51942173624,5,Hybrid,C#,Windows
India,Desktop developer,Bachelors degree,Self-employed,11,35-44 years old,20208.88282125801,3,Remote,Kotlin;JavaScript;PHP;C++,Windows
United States,Data scientist or machine learning specialist,Masters degree,Employed full-time,24,25-34 years old,129783.56701275587,5,In-person,Python;C++;Java;PHP,Windows
United States,Back-end developer,Masters degree,Employed full-time,8,25-34 years old,96404.46501250983,1,Hybrid,Rust;PHP,macOS
United Kingdom,Desktop developer,Masters degree,Employed full-time,More than 50 years,35-44 years old,59412.96595768611,1,Hybrid,Rust;Go,Windows
United States,Front-end developer,Bachelors degree,Employed full-time,25,25-34 years old,127906.14505298661,5,Remote,C#;TypeScript;Go,macOS
Brazil,Embedded developer,Some college,Employed full-time,6,35-44 years old,60660.46614386066,5,Hybrid,C#;C++,Windows
India,Desktop developer,Bachelors degree,Not employed,28,25-34 years old,,5,Hybrid,Rust;Java,macOS
India,Mobile developer,Masters degree,Employed full-time,22,25-34 years old,40480.45548142105,5,Remote,TypeScript;Java;C++;C#,Windows
Germany,Embedded developer,Masters degree,Student,2,35-44 years old,74850.38406518506,2,Hybrid,Python;Java;PHP;JavaScript,Windows
France,Mobile developer,Bachelors degree,Employed full-time,19,25-34 years old,,3,Hybrid,Rust;Java;C++,Linux
United States,Desktop developer,Bachelors degree,Employed full-time,20,18-24 years old,125913.31102964,5,Hybrid,PHP;JavaScript;Go;C#,Linux
United Kingdom,Front-end developer,Bachelors degree,Employed full-time,20,55-64 years old,68065.99208333647,3,Remote,Go;Python,Windows
Germany,Mobile developer,Secondary school,Student,24,25-34 years old,,4,Remote,Go;Python,Linux
United States,DevOps specialist,Other doctoral degree,Self-employed,14,35-44 years old,113969.47408461306,4,Hybrid,Rust,Windows
Brazil,Desktop developer,Masters degree,Employed full-time,1,25-34 years old,,2,In-person,Rust;Java,Linux
Canada,DevOps specialist,Bachelors degree,Employed full-time,10,25-34 years old,85565.61894918972,3,Remote,Python,Windows
United Kingdom,Desktop developer,Bachelors degree,Employed full-time,16,25-34 years old,,4,Hybrid,PHP;Python,Windows
Brazil,Full-stack developer,Some college,Employed full-time,More than 50 years,25-34 years old,56133.18100640755,5,Remote,Kotlin;C++;Python;JavaScript,macOS
Brazil,Full-stack developer,Some college,Not employed,More than 50 years,25-34 years old,,4,Hybrid,Kotlin;C#;JavaScript;Go,Windows
United Kingdom,Full-stack developer,Bachelors degree,Employed full-time,30,25-34 years old,,4,Hybrid,C++;Kotlin,macOS
France,Mobile developer,Bachelors degree,Employed full-time,4,25-34 years old,,4,Hybrid,TypeScript;Kotlin;JavaScript;Rust,Windows
United Kingdom,DevOps specialist,Some college,Employed full-time,27,18-24 years old,58581.89274945262,3,Hybrid,C#;JavaScript;Python,Windows
United Kingdom,DevOps specialist,Bachelors degree,Employed full-time,28,25-34 years old,53296.6605354723,2,Remote,C#;JavaScript;PHP,Windows
Germany,DevOps specialist,Bachelors degree,Employed full-time,29,18-24 years old,40109.34222787892,4,In-person,JavaScript,Windows
Canada,Front-end developer,Bachelors degree,Employed full-time,11,18-24 years old,46194.475335255906,1,Hybrid,Python;TypeScript;JavaScript;PHP,Windows
United States,DevOps specialist,Masters degree,Self-employed,16,55-64 years old,116329.19355967069,3,In-person,Python;PHP,Windows
Brazil,Front-end developer,Secondary school,Self-employed,27,35-44 years old,,4,Hybrid,Java;JavaScript;C++,Windows
Brazil,Full-stack developer,Associate degree,Employed full-time,20,35-44 years old,30355.371526453826,4,Hybrid,PHP;C#,Windows
United States,Full-stack developer,Masters degree,Student,1,25-34 years old,,1,Remote,Java,macOS
France,Mobile developer,Masters degree,Employed full-time,16,45-54 years old,57957.93882217122,4,Hybrid,Python;C#;JavaScript,Windows
United States,Desktop developer,Bachelors degree,Employed full-time,19,35-44 years old,120751.06153321126,4,Remote,C#,Linux
United States,Full-stack developer,Masters degree,Employed full-time,21,35-44 years old,128012.83276679674,2,Remote,PHP,Windows
Canada,Desktop developer,Bachelors degree,Employed full-time,22,25-34 years old,,5,Hybrid,C#;TypeScript,macOS
United States,Desktop developer,Masters degree,Employed full-time,9,55-64 years old,129127.11946265392,2,Hybrid,Python;Java;C++;Rust,Windows
France,Embedded developer,Bachelors degree,Employed full-time,9,45-54 years old,,5,In-person,C#;Kotlin;C++;PHP,Windows
France,Mobile developer,Bachelors degree,Employed full-time,9,45-54 years old,,1,Remote,Go;JavaScript;Java,Windows
India,Back-end developer,Bachelors degree,Freelancer,27,18-24 years old,,5,In-person,PHP;C#;Java,Windows
United States,Back-end developer,Bachelors degree,Employed full-time,17,25-34 years old,149833.47717603616,1,Remote,PHP,macOS
United States,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,12,25-34 years old,134496.58746971664,5,Remote,TypeScript;Kotlin;JavaScript;Rust,Windows
Germany,Embedded developer,Bachelors degree,Employed full-time,25,25-34 years old,93459.55130280861,4,Remote,JavaScript;Java,macOS
Poland,Mobile developer,Associate degree,Employed full-time,13,45-54 years old,,4,Hybrid,JavaScript;C#,macOS
Germany,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,8,18-24 years old,43047.605416630875,4,Hybrid,PHP;TypeScript,Windows
United States,Data scientist or machine learning specialist,Masters degree,Student,16,18-24 years old,149802.75044199682,2,Remote,Go;Rust;JavaScript,Windows
Germany,Embedded developer,Secondary school,Employed full-time,18,25-34 years old,,5,Remote,Kotlin,macOS
India,Back-end developer,Associate degree,Employed full-time,29,18-24 years old,,2,Hybrid,Rust,Windows
Canada,Mobile developer,Masters degree,Employed full-time,27,25-34 years old,53284.281220405006,5,Hybrid,Java;Python;Rust,macOS
United States,Back-end developer,Some college,Employed full-time,1,35-44 years old,96907.31322542312,2,Hybrid,C#;PHP,macOS
Canada,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,1,25-34 years old,38686.34604360867,4,Remote,PHP,macOS
India,Mobile developer,Bachelors degree,Employed full-time,12,18-24 years old,5000.0,4,Remote,Python;PHP,Linux
Netherlands,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,6,25-34 years old,,4,In-person,C++,macOS
United States,DevOps specialist,Masters degree,Employed full-time,9,25-34 years old,,3,Hybrid,JavaScript;Rust;C++,Linux
Germany,Embedded developer,Masters degree,Employed full-time,23,18-24 years old,72166.74736255514,5,In-person,Rust;Kotlin;PHP,Windows
Australia,Desktop developer,Bachelors degree,Freelancer,5,35-44 years old,66046.45800696549,5,Hybrid,Java;Kotlin;Go,Windows
United States,Mobile developer,Bachelors degree,Employed full-time,27,35-44 years old,147511.93928608418,5,Remote,TypeScript,macOS
Australia,Mobile developer,Masters degree,Student,16,35-44 years old,51918.09376335201,4,In-person,JavaScript,macOS
United Kingdom,Desktop developer,Bachelors degree,Self-employed,18,35-44 years old,100710.6291343919,4,Hybrid,Python;Go;C++;Rust,Linux
United States,Data scientist or machine learning specialist,Masters degree,Employed full-time,17,18-24 years old,,4,In-person,JavaScript;Rust,Linux
United States,DevOps specialist,Masters degree,Employed full-time,18,55-64 years old,117377.77322639035,3,Hybrid,C#;Python;Java;JavaScript,Windows
United Kingdom,Front-end developer,Some college,Employed full-time,1,35-44 years old,48449.314719615744,5,In-person,JavaScript;C#;PHP;Rust,macOS
United States,Desktop developer,Some college,Employed part-time,19,45-54 years old,,3,Remote,C++,Windows
Germany,Embedded developer,Secondary school,Employed full-time,22,18-24 years old,68049.50114962284,4,Remote,C++,Linux
United States,Back-end developer,Masters degree,Self-employed,29,55-64 years old,,4,In-person,PHP;Python;Kotlin,macOS
Germany,Data scientist or machine learning specialist,Some college,Not employed,8,35-44 years old,,4,Remote,C++;Kotlin;PHP;Rust,Windows
United States,Desktop developer,Masters degree,Employed part-time,3,45-54 years old,144328.9477455416,5,Hybrid,Python,macOS
Brazil,Desktop developer,Bachelors degree,Employed full-time,26,18-24 years old,63110.23207527122,4,Hybrid,C#;Java;TypeScript;PHP,macOS
Poland,Mobile developer,Bachelors degree,Employed full-time,25,35-44 years old,,4,In-person,Java,macOS
Netherlands,Back-end developer,Bachelors degree,Student,26,55-64 years old,35409.47497565228,5,Remote,Python;PHP,Windows
Canada,Back-end developer,Bachelors degree,Employed full-time,5,35-44 years old,62144.585768383055,4,Hybrid,PHP,Windows
United States,Embedded developer,Masters degree,Employed full-time,23,25-34 years old,110002.57930989936,2,Remote,C++;Java,Linux
Canada,Back-end developer,Secondary school,Self-employed,8,55-64 years old,53178.141357167835,2,Remote,Rust;C++,Windows
United States,Desktop developer,Bachelors degree,Employed full-time,19,25-34 years old,,1,In-person,Rust;Kotlin,Windows
United States,Front-end developer,Bachelors degree,Not employed,18,25-34 years old,,4,Hybrid,JavaScript;C++,macOS
United States,Full-stack developer,Associate degree,Employed part-time,18,25-34 years old,,5,Remote,C++;Rust,Linux
India,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,21,55-64 years old,,3,Hybrid,Kotlin;Go,Windows
Canada,Full-stack developer,Masters degree,Not employed,Less than 1 year,18-24 years old,,4,In-person,Rust,Windows
United Kingdom,Desktop developer,Masters degree,Employed full-time,1,25-34 years old,,5,Remote,Rust;Java;TypeScript;PHP,Linux
India,Full-stack developer,Masters degree,Employed full-time,15,35-44 years old,33961.56682025784,5,Remote,Kotlin;Go;JavaScript;Python,macOS
United States,Desktop developer,Bachelors degree,Employed full-time,18,35-44 years old,150647.60765175245,4,Hybrid,C++;TypeScript;C#;Rust,Windows
Poland,Full-stack developer,Bachelors degree,Employed full-time,29,25-34 years old,68410.73411808138,3,Hybrid,Kotlin;JavaScript;PHP;C++,Windows
India,Back-end developer,Bachelors degree,Employed full-time,25,45-54 years old,,2,Remote,C#;Kotlin,Linux
India,DevOps specialist,Masters degree,Employed full-time,7,55-64 years old,35800.35603446281,1,Remote,C++;Kotlin;Java;Python,Windows
United States,Back-end developer,Masters degree,Employed full-time,16,18-24 years old,,2,Hybrid,Java,Windows
Canada,Back-end developer,Bachelors degree,Employed full-time,Less than 1 year,25-34 years old,53529.70106431086,3,Hybrid,TypeScript;JavaScript;C++;Kotlin,Linux
United Kingdom,Embedded developer,Masters degree,Self-employed,16,18-24 years old,,4,Remote,JavaScript,Windows
United States,Mobile developer,Secondary school,Student,15,25-34 years old,138218.8880767895,2,Hybrid,Kotlin;C#;Python;PHP,Linux
United States,Mobile developer,Bachelors degree,Employed full-time,6,25-34 years old,152259.56341186108,2,Remote,Go,macOS
United Kingdom,Full-stack developer,Masters degree,Employed full-time,9,45-54 years old,74584.73898621506,3,Remote,Java,Windows
United Kingdom,Desktop developer,Masters degree,Employed full-time,7,45-54 years old,,4,Remote,C#;Python;Go;Rust,macOS
United States,Embedded developer,Bachelors degree,Employed full-time,14,18-24 years old,147546.70059056685,4,Hybrid,Go;JavaScript;Python,macOS
Netherlands,Back-end developer,Bachelors degree,Self-employed,11,18-24 years old,16160.42687440238,4,In-person,PHP;Java;Kotlin,Linux
United States,Embedded developer,Masters degree,Self-employed,21,25-34 years old,,3,Hybrid,JavaScript;PHP,Windows
India,Full-stack developer,Secondary school,Employed full-time,Less than 1 year,25-34 years old,38632.68447336778,4,Hybrid,Kotlin;C++;C#,macOS
Netherlands,Mobile developer,Some college,Employed full-time,16,25-34 years old,60282.1671250625,2,Hybrid,PHP;Python,macOS
India,DevOps specialist,Masters degree,Employed full-time,25,45-54 years old,37110.27302248331,3,Remote,Rust;JavaScript;Java,Windows
Germany,Data scientist or machine learning specialist,Some college,Employed full-time,More than 50 years,55-64 years old,76288.15044863884,5,Remote,PHP;Rust;TypeScript;C#,Linux
India,Full-stack developer,Bachelors degree,Employed full-time,6,25-34 years old,36418.91389207746,5,Hybrid,Rust;JavaScript;Python;Java,Windows
United States,Embedded developer,Masters degree,Freelancer,22,45-54 years old,103711.94358013618,4,Hybrid,JavaScript,Windows
Poland,DevOps specialist,Masters degree,Self-employed,27,25-34 years old,71409.72172159381,5,Hybrid,C++;JavaScript;Java;Rust,Windows
India,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,16,35-44 years old,44888.290564151685,4,Remote,Python;C++;Java;Go,Windows
Brazil,Front-end developer,Some college,Employed full-time,20,25-34 years old,84411.01207862466,1,In-person,Go,Windows
United States,Full-stack developer,Masters degree,Not employed,29,18-24 years old,160271.085892974,5,Hybrid,C++;TypeScript;Rust;JavaScript,Windows
United States,Full-stack developer,Bachelors degree,Employed full-time,16,55-64 years old,124881.96887004773,2,Remote,TypeScript;C++,macOS
United States,Front-end developer,Other doctoral degree,Employed full-time,12,25-34 years old,,4,Hybrid,Go;Python;Kotlin,macOS
United Kingdom,Front-end developer,Bachelors degree,Employed full-time,17,35-44 years old,29536.550716523045,3,In-person,C++;C#,macOS
India,Full-stack developer,Bachelors degree,Student,5,25-34 years old,,4,Remote,PHP;C#;Python;C++,Windows
Brazil,Front-end developer,Bachelors degree,Employed full-time,More than 50 years,18-24 years old,,4,Remote,Go,Linux
India,Back-end developer,Some college,Employed part-time,27,18-24 years old,,4,Remote,C#,macOS
Netherlands,Data scientist or machine learning specialist,Some college,Student,25,25-34 years old,47779.977518207415,3,Remote,Java;Python;C#;TypeScript,Linux
